question_id,iteration,self_conf,raw_score,theory,theory_abbr,model,is_thinking_model
Q1,1,67,2,Agency and embodiment,AE,o3pro,True
Q1,2,69,3,Agency and embodiment,AE,o3pro,True
Q1,3,67,4,Agency and embodiment,AE,o3pro,True
Q2,1,69,3,Agency and embodiment,AE,o3pro,True
Q2,2,86,3,Agency and embodiment,AE,o3pro,True
Q2,3,72,3,Agency and embodiment,AE,o3pro,True
Q3,1,75,2,Agency and embodiment,AE,o3pro,True
Q3,2,73,2,Agency and embodiment,AE,o3pro,True
Q3,3,73,3,Agency and embodiment,AE,o3pro,True
Q4,1,66,4,Agency and embodiment,AE,o3pro,True
Q4,2,71,4,Agency and embodiment,AE,o3pro,True
Q4,3,77,4,Agency and embodiment,AE,o3pro,True
Q5,1,73,3,Agency and embodiment,AE,o3pro,True
Q5,2,79,4,Agency and embodiment,AE,o3pro,True
Q5,3,71,3,Agency and embodiment,AE,o3pro,True
Q6,1,65,1,Agency and embodiment,AE,o3pro,True
Q6,2,62,0,Agency and embodiment,AE,o3pro,True
Q6,3,84,0,Agency and embodiment,AE,o3pro,True
Q7,1,71,3,Agency and embodiment,AE,o3pro,True
Q7,2,79,3,Agency and embodiment,AE,o3pro,True
Q7,3,71,3,Agency and embodiment,AE,o3pro,True
Q1,1,85,4,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q1,2,85,4,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q1,3,85,4,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q2,1,85,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q2,2,75,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q2,3,75,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q3,1,85,0,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q3,2,75,4,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q3,3,85,1,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q4,1,75,4,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q4,2,78,4,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q4,3,78,4,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q5,1,85,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q5,2,85,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q5,3,85,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q6,1,85,2,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q6,2,85,2,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q6,3,85,2,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q7,1,85,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q7,2,85,2,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q7,3,85,3,Agency and embodiment,AE,claude4_opus_nonthinking,False
Q1,1,85,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q1,2,80,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q1,3,85,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
